elective,institution,01,02,03,04,07,08,09,10,13,14,15,16,17,18,19,21,22,24
5.588,UOC_Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.598,UOC_Spain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5.599,UOC_Spain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5.604,UOC_Spain,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
COMP3477,Durham_England,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
COMP3621,Durham_England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
COMP3677,Durham_England,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMP4087,Durham_England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMP4197,Durham_England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMPSCI4031,Glasgow_Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMPSCI4077,Glasgow_Scotland,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
COMPSCI4080,Glasgow_Scotland,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
COMPSCI4094,Glasgow_Scotland,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
CS4134,VirginiaTech_USA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CYBR3305,Kennesaw_USA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CYBR4853,Kennesaw_USA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
IT3503,Kennesaw_USA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT4513,Kennesaw_USA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT4533,Kennesaw_USA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SWE4803,Kennesaw_USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
cxinfr08020,Edinburgh_UK,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cxinfr10075,Edinburgh_UK,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cxinfr10087,Edinburgh_UK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cxinfr11020,Edinburgh_UK,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cxinfr11124,Edinburgh_UK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cxinfr11134,Edinburgh_UK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cxinfr11161,Edinburgh_UK,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cxinfr11202,Edinburgh_UK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cxinfr11209,Edinburgh_UK,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cxinfr11213,Edinburgh_UK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cxinfr11218,Edinburgh_UK,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
inf-TM,CAU_Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cxinfr11187,Edinburgh_UK,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
